episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.2220562845468521,500,13
1,1,3,0.11635881662368774,500,25
2,5,3,0.4593537151813507,500,36
3,4,3,0.11635881662368774,500,12
4,4,9,0.5905625820159912,500,78
5,1,3,0.11635881662368774,500,14
6,4,1,0.9150615334510803,33,34
7,1,1,0.921778678894043,107,92
8,2,2,0.28721943497657776,500,70
9,0,4,0.7383953332901001,500,58
10,2,3,0.3426114618778229,500,52
11,0,5,0.7167329788208008,500,83
12,6,5,0.7259007692337036,500,80
13,6,5,0.31275925040245056,500,103
14,1,3,0.11635881662368774,500,14
15,4,9,0.6035151481628418,500,98
16,3,3,0.9030397534370422,49,42
17,8,3,0.11635881662368774,500,19
18,1,5,0.15182925760746002,500,44
19,5,5,0.43480271100997925,500,67
20,5,6,0.15335001051425934,500,17
21,9,3,0.1749022752046585,500,52
22,5,4,0.2453930675983429,500,24
23,1,1,0.4887000024318695,500,27
24,2,2,0.5171160697937012,500,72
25,1,1,0.9473237991333008,15,16
26,5,3,0.38938969373703003,500,20
27,0,3,0.11635881662368774,500,19
28,9,3,0.11635881662368774,500,22
29,2,7,0.18881520628929138,500,14
30,9,1,0.9150289297103882,18,19
31,3,3,0.8157530426979065,500,79
32,0,4,0.19369280338287354,500,20
33,4,4,0.444014310836792,500,31
34,8,4,0.15167124569416046,500,15
35,5,5,0.3746413588523865,500,28
36,2,2,0.6167504787445068,500,65
37,8,3,0.5187368392944336,500,92
38,3,9,0.23111464083194733,500,73
39,4,3,0.11635881662368774,500,7
40,2,2,0.6100125908851624,500,90
41,7,3,0.23086179792881012,500,50
42,1,1,0.76323401927948,500,33
43,8,8,0.3443535268306732,500,120
44,2,3,0.38161349296569824,500,39
45,1,1,0.63014155626297,500,26
46,1,3,0.11635881662368774,500,21
47,0,5,0.43935611844062805,500,45
48,2,3,0.11635881662368774,500,17
49,0,3,0.11635881662368774,500,5
50,1,1,0.9458887577056885,29,30
51,2,3,0.11635881662368774,500,14
52,0,2,0.22605331242084503,500,54
53,3,7,0.19838514924049377,500,11
54,6,4,0.5954782366752625,500,51
55,5,5,0.7257489562034607,500,30
56,2,7,0.37260565161705017,500,25
57,2,5,0.2138737589120865,500,26
58,1,3,0.11635881662368774,500,28
59,7,4,0.6038807034492493,500,22
60,0,4,0.3310888707637787,500,18
61,7,7,0.40013402700424194,500,68
62,9,3,0.13799124956130981,500,19
63,6,5,0.5065382122993469,500,55
64,9,4,0.565106213092804,500,20
65,7,3,0.11635881662368774,500,20
66,3,3,0.11635881662368774,500,5
67,3,1,0.6919574737548828,500,8
68,9,5,0.3817921578884125,500,26
69,5,6,0.1881793737411499,500,17
70,9,9,0.9070121645927429,91,88
71,6,3,0.11635881662368774,500,11
72,4,4,0.6011086106300354,500,91
73,9,3,0.11635881662368774,500,12
74,5,3,0.11635881662368774,500,11
75,2,3,0.28397899866104126,500,33
76,2,3,0.11635881662368774,500,1
77,1,3,0.11635881662368774,500,22
78,4,3,0.502554178237915,500,29
79,6,3,0.11635881662368774,500,11
80,2,3,0.4997980296611786,500,44
81,4,3,0.27642419934272766,500,18
82,5,3,0.11635881662368774,500,13
83,5,5,0.453481525182724,500,59
84,7,3,0.13486139476299286,500,18
85,8,9,0.22078728675842285,500,20
86,0,7,0.5313113927841187,500,58
87,7,3,0.49710381031036377,500,89
88,5,4,0.4195650517940521,500,32
89,3,4,0.40787649154663086,500,21
90,2,2,0.24824190139770508,500,84
91,7,3,0.44175371527671814,500,34
92,4,3,0.11635881662368774,500,1
93,6,3,0.11635881662368774,500,5
94,3,2,0.12303020805120468,500,15
95,1,1,0.46344485878944397,500,35
96,1,5,0.37931913137435913,500,25
97,4,5,0.44668468832969666,500,76
98,2,3,0.11635881662368774,500,3
99,9,5,0.22676660120487213,500,32
