episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.2220562845468521,500,17
1,1,3,0.11635881662368774,500,25
2,5,3,0.27245622873306274,500,38
3,4,3,0.11635881662368774,500,14
4,4,7,0.25892186164855957,500,73
5,1,3,0.11635881662368774,500,18
6,4,5,0.5484145283699036,500,48
7,1,3,0.11635881662368774,500,17
8,2,2,0.68893963098526,500,81
9,0,2,0.27943092584609985,500,83
10,2,1,0.11433956027030945,500,15
11,0,3,0.4356662929058075,500,78
12,6,3,0.231853649020195,500,70
13,6,2,0.5086798667907715,500,79
14,1,3,0.11635881662368774,500,18
15,4,3,0.11635881662368774,500,16
16,3,3,0.6863313317298889,500,47
17,8,3,0.11635881662368774,500,19
18,1,5,0.1864321529865265,500,45
19,5,3,0.46557798981666565,500,71
20,5,6,0.15335001051425934,500,23
21,9,3,0.30467623472213745,500,94
22,5,4,0.2453930675983429,500,24
23,1,3,0.41930511593818665,500,40
24,2,2,0.6295120120048523,500,70
25,1,8,0.3026220500469208,500,89
26,5,3,0.39357447624206543,500,29
27,0,3,0.11635881662368774,500,19
28,9,3,0.11635881662368774,500,22
29,2,7,0.18881520628929138,500,19
30,9,1,0.9150289297103882,18,19
31,3,3,0.4133738577365875,500,69
32,0,4,0.19369280338287354,500,24
33,4,7,0.239109069108963,500,45
34,8,4,0.15167124569416046,500,18
35,5,7,0.24142986536026,500,39
36,2,1,0.7242144346237183,500,33
37,8,5,0.2698270082473755,500,74
38,3,1,0.15892446041107178,500,17
39,4,3,0.11635881662368774,500,10
40,2,2,0.25619199872016907,500,32
41,7,3,0.17984510958194733,500,51
42,1,3,0.25924304127693176,500,49
43,8,3,0.4017232358455658,500,80
44,2,2,0.8056663870811462,500,81
45,1,1,0.7516255974769592,500,31
46,1,3,0.11635881662368774,500,21
47,0,5,0.6950864791870117,500,44
48,2,3,0.11635881662368774,500,17
49,0,3,0.11635881662368774,500,5
50,1,3,0.346914678812027,500,50
51,2,3,0.11635881662368774,500,25
52,0,2,0.3666035532951355,500,87
53,3,7,0.19838514924049377,500,12
54,6,3,0.3227027356624603,500,80
55,5,5,0.4252609312534332,500,40
56,2,7,0.6376314759254456,500,78
57,2,5,0.2138737589120865,500,26
58,1,3,0.11635881662368774,500,28
59,7,4,0.6038807034492493,500,22
60,0,4,0.3310888707637787,500,18
61,7,2,0.2939203381538391,500,33
62,9,3,0.14350339770317078,500,28
63,6,5,0.6070903539657593,500,42
64,9,4,0.565106213092804,500,20
65,7,3,0.11635881662368774,500,20
66,3,3,0.11635881662368774,500,9
67,3,1,0.6399381160736084,500,74
68,9,3,0.33053717017173767,500,47
69,5,6,0.1881793737411499,500,17
70,9,3,0.11635881662368774,500,17
71,6,3,0.11635881662368774,500,15
72,4,1,0.28425654768943787,500,67
73,9,3,0.11635881662368774,500,12
74,5,3,0.11635881662368774,500,14
75,2,5,0.3960544764995575,500,46
76,2,3,0.11635881662368774,500,1
77,1,3,0.11635881662368774,500,22
78,4,5,0.3303321599960327,500,34
79,6,3,0.11635881662368774,500,16
80,2,2,0.33660632371902466,500,78
81,4,3,0.3689385950565338,500,77
82,5,3,0.11635881662368774,500,13
83,5,3,0.3599603474140167,500,68
84,7,3,0.14230138063430786,500,27
85,8,3,0.17453065514564514,500,85
86,0,7,0.27153128385543823,500,36
87,7,3,0.4810805916786194,500,74
88,5,3,0.3868202567100525,500,44
89,3,4,0.40787649154663086,500,26
90,2,2,0.19044117629528046,500,71
91,7,3,0.6504822373390198,500,84
92,4,3,0.11635881662368774,500,1
93,6,3,0.11635881662368774,500,5
94,3,2,0.12303020805120468,500,19
95,1,5,0.41042622923851013,500,49
96,1,3,0.4488603174686432,500,36
97,4,2,0.1278485357761383,500,27
98,2,3,0.11635881662368774,500,8
99,9,3,0.38667699694633484,500,42
