episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.9354062080383301,128,121
1,1,1,0.9722345471382141,363,308
2,5,5,0.913327693939209,124,117
3,4,4,0.9655687212944031,249,216
4,4,7,0.1191362589597702,500,190
5,1,3,0.8725332617759705,500,451
6,4,4,0.7953090667724609,500,304
7,1,5,0.4030023217201233,500,441
8,2,2,0.9561256766319275,303,220
9,0,0,0.5323997139930725,500,333
10,2,2,0.9216761589050293,321,261
11,0,0,0.9114058613777161,435,401
12,6,6,0.9093677997589111,181,174
13,6,6,0.8591181039810181,500,415
14,1,3,0.712746798992157,500,400
15,4,4,0.9264692068099976,274,213
16,3,3,0.9479057192802429,441,320
17,8,2,0.7111111283302307,500,380
18,1,1,0.9123167991638184,354,286
19,5,5,0.9434109330177307,307,208
20,5,5,0.9027865529060364,358,293
21,9,5,0.7846542000770569,500,359
22,5,7,0.9258143901824951,42,43
23,1,3,0.5830792784690857,500,433
24,2,3,0.6018542647361755,500,386
25,1,1,0.7007576823234558,500,454
26,5,5,0.9503322243690491,409,333
27,0,0,0.9143165349960327,355,287
28,9,4,0.7603206038475037,500,424
29,2,2,0.9261040687561035,85,86
30,9,4,0.5684010982513428,500,380
31,3,3,0.9380854964256287,162,147
32,0,0,0.5756296515464783,500,343
33,4,4,0.9745579361915588,243,234
34,8,2,0.8978230953216553,500,382
35,5,5,0.9288216233253479,363,332
36,2,3,0.9028292298316956,121,112
37,8,8,0.9233121871948242,81,81
38,3,3,0.9000577330589294,442,237
39,4,4,0.9342793226242065,434,320
40,2,7,0.6316438913345337,500,375
41,7,7,0.901267945766449,306,240
42,1,1,0.9006956219673157,350,273
43,8,3,0.9113722443580627,183,169
44,2,2,0.9132903814315796,423,376
45,1,3,0.7440669536590576,500,423
46,1,1,0.967695415019989,259,249
47,0,0,0.5898138880729675,500,389
48,2,2,0.6134354472160339,500,405
49,0,7,0.9107037782669067,344,295
50,1,1,0.9309744834899902,290,209
51,2,1,0.9545412659645081,335,219
52,0,7,0.6174665093421936,500,369
53,3,3,0.9319263100624084,390,262
54,6,6,0.47290390729904175,500,304
55,5,5,0.9405050277709961,366,301
56,2,2,0.9079751372337341,117,118
57,2,2,0.9113667011260986,400,303
58,1,1,0.900099515914917,72,72
59,7,7,0.9154864549636841,122,111
60,0,0,0.9152975678443909,249,241
61,7,7,0.9196139574050903,177,176
62,9,7,0.9165549874305725,322,190
63,6,6,0.8009538650512695,500,268
64,9,3,0.6191024780273438,500,359
65,7,7,0.7311314940452576,500,414
66,3,3,0.9385241866111755,329,256
67,3,3,0.9038181304931641,368,254
68,9,7,0.457341730594635,500,391
69,5,5,0.9353548884391785,450,280
70,9,9,0.9105858206748962,392,357
71,6,2,0.5689947009086609,500,375
72,4,4,0.945495069026947,296,273
73,9,4,0.9016645550727844,282,235
74,5,7,0.3609961271286011,500,420
75,2,6,0.9111517667770386,296,271
76,2,2,0.9210410714149475,214,207
77,1,1,0.9322299957275391,436,311
78,4,4,0.9159982800483704,316,289
79,6,5,0.689477264881134,500,371
80,2,2,0.9040291905403137,168,157
81,4,5,0.4770580530166626,500,394
82,5,5,0.9459813833236694,83,73
83,5,5,0.49091818928718567,500,387
84,7,7,0.7084593772888184,500,381
85,8,2,0.4841907024383545,500,240
86,0,9,0.9120543599128723,78,78
87,7,7,0.5379922389984131,500,292
88,5,5,0.9191282987594604,281,225
89,3,7,0.9063597917556763,336,204
90,2,2,0.9315879940986633,315,287
91,7,7,0.9127586483955383,245,213
92,4,4,0.9138933420181274,188,176
93,6,6,0.9165651798248291,423,372
94,3,3,0.5604987144470215,500,389
95,1,2,0.48877713084220886,500,258
96,1,1,0.9717868566513062,80,76
97,4,4,0.7285743355751038,500,411
98,2,2,0.9068005681037903,145,138
99,9,4,0.5518819689750671,500,411
