episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.2220562845468521,500,13
1,1,3,0.11635881662368774,500,33
2,5,7,0.1377449929714203,500,21
3,4,3,0.11635881662368774,500,7
4,4,3,0.11635881662368774,500,5
5,1,3,0.11635881662368774,500,4
6,4,3,0.11635881662368774,500,27
7,1,3,0.11635881662368774,500,5
8,2,3,0.1153775155544281,500,11
9,0,0,0.3773570656776428,500,15
10,2,1,0.11433956027030945,500,8
11,0,3,0.12498290836811066,500,9
12,6,8,0.1866370439529419,500,13
13,6,3,0.11635881662368774,500,10
14,1,3,0.11635881662368774,500,11
15,4,3,0.11635881662368774,500,9
16,3,3,0.11635881662368774,500,21
17,8,3,0.11635881662368774,500,20
18,1,5,0.14701136946678162,500,28
19,5,3,0.11635881662368774,500,5
20,5,6,0.15335001051425934,500,17
21,9,3,0.11635881662368774,500,26
22,5,4,0.16143804788589478,500,28
23,1,3,0.11635881662368774,500,22
24,2,8,0.14674048125743866,500,11
25,1,3,0.11635881662368774,500,19
26,5,3,0.11635881662368774,500,4
27,0,2,0.11616184562444687,500,20
28,9,3,0.11600755155086517,500,25
29,2,7,0.18881520628929138,500,14
30,9,4,0.2468610256910324,500,35
31,3,7,0.15028800070285797,500,7
32,0,4,0.19369280338287354,500,18
33,4,7,0.16363883018493652,500,24
34,8,4,0.15167124569416046,500,13
35,5,3,0.11635881662368774,500,16
36,2,3,0.24627253413200378,500,23
37,8,3,0.11635881662368774,500,8
38,3,7,0.1589827984571457,500,5
39,4,3,0.11635881662368774,500,7
40,2,2,0.16010761260986328,500,11
41,7,3,0.11635881662368774,500,25
42,1,3,0.11635881662368774,500,23
43,8,3,0.11635881662368774,500,10
44,2,3,0.11635881662368774,500,12
45,1,1,0.510520339012146,500,26
46,1,3,0.11635881662368774,500,21
47,0,5,0.3820943534374237,500,28
48,2,3,0.11635881662368774,500,17
49,0,3,0.11635881662368774,500,5
50,1,3,0.11635881662368774,500,26
51,2,3,0.11635881662368774,500,1
52,0,3,0.11635881662368774,500,14
53,3,7,0.19838514924049377,500,11
54,6,8,0.2973691523075104,500,14
55,5,5,0.6067456603050232,500,24
56,2,2,0.2125381976366043,500,17
57,2,6,0.29450011253356934,500,28
58,1,6,0.3126222789287567,500,45
59,7,4,0.6038807034492493,500,22
60,0,4,0.3310888707637787,500,18
61,7,7,0.24290858209133148,500,32
62,9,3,0.11635881662368774,500,4
63,6,5,0.46421900391578674,500,26
64,9,4,0.565106213092804,500,20
65,7,3,0.11635881662368774,500,21
66,3,3,0.11635881662368774,500,4
67,3,1,0.8002207279205322,500,16
68,9,3,0.11635881662368774,500,24
69,5,6,0.1881793737411499,500,17
70,9,3,0.11635881662368774,500,3
71,6,3,0.11635881662368774,500,4
72,4,3,0.11802760511636734,500,7
73,9,3,0.11635881662368774,500,12
74,5,3,0.11635881662368774,500,7
75,2,3,0.11635881662368774,500,20
76,2,3,0.11635881662368774,500,1
77,1,3,0.11635881662368774,500,23
78,4,3,0.11635881662368774,500,15
79,6,3,0.11635881662368774,500,4
80,2,8,0.21677091717720032,500,10
81,4,9,0.14338168501853943,500,13
82,5,3,0.11635881662368774,500,13
83,5,7,0.14605720341205597,500,6
84,7,3,0.11635881662368774,500,4
85,8,3,0.11635881662368774,500,13
86,0,0,0.22017163038253784,500,16
87,7,3,0.11635881662368774,500,6
88,5,3,0.11635881662368774,500,17
89,3,4,0.40787649154663086,500,20
90,2,5,0.15985944867134094,500,6
91,7,3,0.1240956261754036,500,13
92,4,3,0.11635881662368774,500,1
93,6,3,0.11635881662368774,500,5
94,3,2,0.12303020805120468,500,14
95,1,3,0.11635881662368774,500,25
96,1,8,0.3707126975059509,500,19
97,4,3,0.11635881662368774,500,5
98,2,3,0.11635881662368774,500,2
99,9,0,0.25398916006088257,500,25
